,RHR,DetRHR,Raw Bias,% Bias
0,51,51.0,0.0,0.0
1,54,54.0,0.0,0.0
2,55,58.902736568185006,-3.9027365681850057,-6.625730476320486
3,49,49.0,0.0,0.0
4,53,63.905370650557664,-10.905370650557664,-17.064873483309494
5,55,55.0,0.0,0.0
6,59,61.20009071064328,-2.2000907106432805,-3.5949141334535044
7,70,62.89649242840896,7.103507571591038,11.293964571516456
8,72,72.0,0.0,0.0
9,78,78.0,0.0,0.0
10,57,52.04690102148598,4.953098978514021,9.516606908967134
11,57,57.0,0.0,0.0
12,61,61.0,0.0,0.0
13,58,58.0,0.0,0.0
14,58,58.0,0.0,0.0
15,61,61.0,0.0,0.0
16,57,57.0,0.0,0.0
17,50,50.0,0.0,0.0
18,54,54.0,0.0,0.0
19,53,53.0,0.0,0.0
20,54,65.826008373794,-11.826008373793996,-17.96555596480927
21,54,54.0,0.0,0.0
22,54,54.0,0.0,0.0
23,52,52.0,0.0,0.0
24,52,52.0,0.0,0.0
25,49,49.0,0.0,0.0
26,54,54.0,0.0,0.0
27,55,55.0,0.0,0.0
28,46,46.0,0.0,0.0
29,49,49.0,0.0,0.0
30,46,46.0,0.0,0.0
31,60,60.0,0.0,0.0
32,64,64.0,0.0,0.0
33,65,65.0,0.0,0.0
34,55,55.0,0.0,0.0
35,85,65.8284464081701,19.171553591829905,29.123509117861374
36,78,78.0,0.0,0.0
37,53,53.0,0.0,0.0
38,59,59.0,0.0,0.0
39,78,78.0,0.0,0.0
40,59,59.0,0.0,0.0
41,78,78.0,0.0,0.0
42,86,86.0,0.0,0.0
43,80,69.38225902351368,10.617740976486317,15.303250608902715
44,75,75.0,0.0,0.0
45,74,74.0,0.0,0.0
46,54,54.0,0.0,0.0
47,63,63.0,0.0,0.0
48,54,54.0,0.0,0.0
49,60,60.0,0.0,0.0
50,56,56.0,0.0,0.0
51,56,56.0,0.0,0.0
52,46,46.0,0.0,0.0
53,58,58.0,0.0,0.0
54,60,60.0,0.0,0.0
55,58,58.0,0.0,0.0
56,51,51.0,0.0,0.0
57,49,49.0,0.0,0.0
58,50,47.43556357893263,2.56443642106737,5.406147260799708
59,47,47.0,0.0,0.0
60,57,57.0,0.0,0.0
61,54,54.0,0.0,0.0
62,50,50.0,0.0,0.0
63,54,54.0,0.0,0.0
64,51,59.10532653423809,-8.105326534238088,-13.71336055396445
65,54,59.49245847515162,-5.492458475151622,-9.232192812212782
66,51,51.0,0.0,0.0
67,74,55.48709736415615,18.51290263584385,33.364337864613034
68,46,46.0,0.0,0.0
69,48,48.0,0.0,0.0
70,55,55.0,0.0,0.0
71,51,51.0,0.0,0.0
72,53,53.0,0.0,0.0
73,59,59.0,0.0,0.0
74,50,50.0,0.0,0.0
75,45,45.0,0.0,0.0
76,52,52.0,0.0,0.0
77,46,46.0,0.0,0.0
78,45,45.0,0.0,0.0
79,47,47.0,0.0,0.0
80,49,56.595443510920994,-7.595443510920994,-13.420591905875481
81,47,47.0,0.0,0.0
82,61,61.0,0.0,0.0
83,56,56.0,0.0,0.0
84,60,60.0,0.0,0.0
85,56,56.0,0.0,0.0
86,57,57.0,0.0,0.0
87,56,56.0,0.0,0.0
88,57,57.0,0.0,0.0
89,55,55.0,0.0,0.0
90,49,49.0,0.0,0.0
91,77,77.0,0.0,0.0
92,82,82.0,0.0,0.0
93,85,69.72663289046532,15.273367109534675,21.904638839405667
94,78,78.0,0.0,0.0
95,51,51.0,0.0,0.0
96,57,57.0,0.0,0.0
97,57,55.919002058097746,1.080997941902254,1.9331495593915244
98,53,53.0,0.0,0.0
99,61,61.0,0.0,0.0
100,67,67.0,0.0,0.0
101,66,56.34967301153617,9.650326988463831,17.1257905728897
102,49,49.0,0.0,0.0
103,51,51.0,0.0,0.0
104,53,53.0,0.0,0.0
105,49,49.0,0.0,0.0
106,50,50.0,0.0,0.0
107,46,46.0,0.0,0.0
108,49,49.0,0.0,0.0
109,49,49.0,0.0,0.0
110,62,61.36198699033966,0.6380130096603409,1.0397528518116348
111,65,65.0,0.0,0.0
112,63,63.0,0.0,0.0
113,63,63.0,0.0,0.0
114,60,60.0,0.0,0.0
115,47,47.0,0.0,0.0
116,50,50.0,0.0,0.0
117,53,53.0,0.0,0.0
118,45,45.0,0.0,0.0
119,58,58.0,0.0,0.0
120,55,55.0,0.0,0.0
121,58,58.0,0.0,0.0
122,66,66.0,0.0,0.0
123,78,78.0,0.0,0.0
124,76,76.0,0.0,0.0
125,89,89.0,0.0,0.0
126,75,68.26697068954698,6.73302931045302,9.862791980432755
127,70,70.0,0.0,0.0
128,49,49.0,0.0,0.0
129,56,56.0,0.0,0.0
130,52,52.0,0.0,0.0
131,55,55.0,0.0,0.0
132,55,55.0,0.0,0.0
133,51,51.0,0.0,0.0
134,55,55.0,0.0,0.0
135,60,60.0,0.0,0.0
136,54,54.0,0.0,0.0
137,56,56.001161415742075,-0.001161415742075178,-0.0020739136702059555
138,58,58.0,0.0,0.0
139,57,57.0,0.0,0.0
140,56,56.0,0.0,0.0
141,54,54.0,0.0,0.0
142,48,48.0,0.0,0.0
143,51,51.0,0.0,0.0
144,48,48.0,0.0,0.0
145,68,68.0,0.0,0.0
146,72,72.0,0.0,0.0
147,67,67.0,0.0,0.0
148,68,68.0,0.0,0.0
149,49,49.0,0.0,0.0
150,57,58.38433912343077,-1.3843391234307703,-2.371079546698522
151,58,58.0,0.0,0.0
152,56,56.0,0.0,0.0
153,54,54.0,0.0,0.0
154,61,61.0,0.0,0.0
155,57,57.0,0.0,0.0
156,50,50.0,0.0,0.0
157,45,45.0,0.0,0.0
158,49,49.0,0.0,0.0
159,47,47.0,0.0,0.0
160,49,49.0,0.0,0.0
161,54,54.0,0.0,0.0
162,49,49.0,0.0,0.0
163,50,50.0,0.0,0.0
164,49,49.0,0.0,0.0
165,49,49.0,0.0,0.0
166,48,48.0,0.0,0.0
167,49,49.0,0.0,0.0
168,49,49.0,0.0,0.0
169,60,62.69215494517411,-2.69215494517411,-4.294245344618427
170,73,73.0,0.0,0.0
171,82,82.0,0.0,0.0
172,84,84.0,0.0,0.0
173,60,60.0,0.0,0.0
174,61,59.20679638657516,1.7932036134248435,3.0287124500312324
175,59,59.0,0.0,0.0
176,62,62.0,0.0,0.0
177,57,57.0,0.0,0.0
178,57,57.0,0.0,0.0
179,58,58.0,0.0,0.0
180,48,54.40856069542703,-6.4085606954270276,-11.778588908648818
181,51,65.62159972857154,-14.621599728571539,-22.281687415500965
182,45,45.0,0.0,0.0
183,47,47.0,0.0,0.0
184,57,57.0,0.0,0.0
185,48,48.0,0.0,0.0
186,61,61.0,0.0,0.0
187,65,65.0,0.0,0.0
188,67,67.0,0.0,0.0
189,67,67.0,0.0,0.0
190,58,64.94241215853656,-6.9424121585365555,-10.690105168235561
191,66,66.0,0.0,0.0
192,67,67.0,0.0,0.0
193,64,64.0,0.0,0.0
194,69,69.0,0.0,0.0
195,68,68.0,0.0,0.0
196,72,72.0,0.0,0.0
197,70,70.0,0.0,0.0
198,54,54.0,0.0,0.0
199,65,66.09409697313879,-1.0940969731387895,-1.6553626167000057
200,62,66.30417341819604,-4.304173418196044,-6.491557312763116
201,54,54.0,0.0,0.0
202,51,51.0,0.0,0.0
203,55,55.0,0.0,0.0
204,56,56.0,0.0,0.0
205,50,50.0,0.0,0.0
206,56,56.0,0.0,0.0
207,63,63.0,0.0,0.0
208,50,50.0,0.0,0.0
209,49,49.0,0.0,0.0
210,54,59.08911614252419,-5.08911614252419,-8.612611720657888
211,51,51.0,0.0,0.0
212,48,48.0,0.0,0.0
213,67,67.0,0.0,0.0
214,62,62.0,0.0,0.0
215,65,65.0,0.0,0.0
216,70,70.0,0.0,0.0
217,47,47.0,0.0,0.0
218,58,58.0,0.0,0.0
219,57,57.0,0.0,0.0
220,57,57.0,0.0,0.0
221,54,54.0,0.0,0.0
222,50,50.0,0.0,0.0
223,65,65.0,0.0,0.0
224,44,44.0,0.0,0.0
225,47,47.0,0.0,0.0
226,50,50.0,0.0,0.0
227,52,52.0,0.0,0.0
228,48,48.0,0.0,0.0
229,60,60.0,0.0,0.0
230,56,56.0,0.0,0.0
231,61,61.0,0.0,0.0
232,65,65.0,0.0,0.0
233,70,70.0,0.0,0.0
234,52,52.0,0.0,0.0
235,47,47.0,0.0,0.0
236,47,47.0,0.0,0.0
237,49,49.0,0.0,0.0
238,50,50.0,0.0,0.0
239,50,50.0,0.0,0.0
240,54,54.0,0.0,0.0
241,68,68.0,0.0,0.0
242,59,59.0,0.0,0.0
243,51,51.0,0.0,0.0
244,58,58.0,0.0,0.0
245,57,57.0,0.0,0.0
246,62,62.0,0.0,0.0
247,67,67.0,0.0,0.0
248,57,57.0,0.0,0.0
249,49,49.0,0.0,0.0
250,49,49.0,0.0,0.0
251,53,53.0,0.0,0.0
252,63,63.0,0.0,0.0
253,55,55.0,0.0,0.0
254,51,51.0,0.0,0.0
255,57,57.0,0.0,0.0
256,57,57.0,0.0,0.0
257,60,60.0,0.0,0.0
258,64,64.0,0.0,0.0
259,67,67.0,0.0,0.0
260,64,64.0,0.0,0.0
261,67,67.0,0.0,0.0
262,71,71.0,0.0,0.0
263,71,71.0,0.0,0.0
264,82,82.0,0.0,0.0
265,58,58.0,0.0,0.0
266,55,55.0,0.0,0.0
267,51,51.0,0.0,0.0
268,49,49.0,0.0,0.0
269,49,49.0,0.0,0.0
270,52,52.0,0.0,0.0
271,54,54.0,0.0,0.0
272,52,52.0,0.0,0.0
273,54,56.62401602637584,-2.624016026375841,-4.634104414553636
274,51,51.0,0.0,0.0
275,50,50.0,0.0,0.0
276,51,51.0,0.0,0.0
277,51,51.0,0.0,0.0
278,52,52.0,0.0,0.0
279,53,53.0,0.0,0.0
280,55,55.0,0.0,0.0
281,58,58.0,0.0,0.0
282,70,70.0,0.0,0.0
283,67,67.0,0.0,0.0
284,52,52.0,0.0,0.0
285,53,53.0,0.0,0.0
286,54,54.0,0.0,0.0
287,60,60.0,0.0,0.0
288,57,57.0,0.0,0.0
289,58,58.0,0.0,0.0
290,60,60.0,0.0,0.0
291,68,68.0,0.0,0.0
292,67,67.0,0.0,0.0
293,65,65.0,0.0,0.0
294,75,75.0,0.0,0.0
295,75,75.0,0.0,0.0
296,57,57.0,0.0,0.0
297,58,58.0,0.0,0.0
298,58,58.0,0.0,0.0
299,56,56.0,0.0,0.0
300,60,56.08596931190334,3.914030688096659,6.978627161331719
301,60,57.825107294166564,2.174892705833436,3.761156368927033
302,57,54.64522604342717,2.354773956572828,4.309203432888103
303,50,50.0,0.0,0.0
304,49,49.0,0.0,0.0
305,52,52.0,0.0,0.0
306,48,48.0,0.0,0.0
307,49,49.0,0.0,0.0
308,49,49.0,0.0,0.0
309,51,51.0,0.0,0.0
310,62,62.0,0.0,0.0
311,64,64.0,0.0,0.0
312,61,61.0,0.0,0.0
313,52,52.0,0.0,0.0
314,54,54.0,0.0,0.0
315,56,56.0,0.0,0.0
316,59,59.0,0.0,0.0
317,51,51.0,0.0,0.0
318,78,78.0,0.0,0.0
319,81,81.0,0.0,0.0
320,78,78.0,0.0,0.0
321,58,58.0,0.0,0.0
322,49,49.0,0.0,0.0
323,49,49.0,0.0,0.0
324,51,51.0,0.0,0.0
325,59,59.0,0.0,0.0
326,77,77.0,0.0,0.0
327,63,63.0,0.0,0.0
328,70,70.0,0.0,0.0
329,58,58.0,0.0,0.0
330,61,61.0,0.0,0.0
331,55,55.0,0.0,0.0
332,58,58.0,0.0,0.0
333,60,60.0,0.0,0.0
334,60,60.0,0.0,0.0
335,56,56.0,0.0,0.0
336,56,56.0,0.0,0.0
337,52,52.0,0.0,0.0
338,58,58.0,0.0,0.0
339,56,56.0,0.0,0.0
340,57,57.0,0.0,0.0
341,71,71.0,0.0,0.0
342,51,51.0,0.0,0.0
343,50,50.0,0.0,0.0
344,49,49.0,0.0,0.0
345,51,51.0,0.0,0.0
346,52,52.0,0.0,0.0
347,53,53.0,0.0,0.0
348,55,55.0,0.0,0.0
349,57,57.0,0.0,0.0
350,51,51.0,0.0,0.0
351,46,46.0,0.0,0.0
352,44,44.0,0.0,0.0
353,51,51.0,0.0,0.0
354,44,44.0,0.0,0.0
355,44,44.0,0.0,0.0
356,65,65.0,0.0,0.0
357,61,61.0,0.0,0.0
358,67,67.0,0.0,0.0
359,60,60.0,0.0,0.0
360,55,55.0,0.0,0.0
361,58,58.0,0.0,0.0
362,56,56.0,0.0,0.0
363,63,63.0,0.0,0.0
364,68,68.0,0.0,0.0
365,60,60.0,0.0,0.0
366,84,84.0,0.0,0.0
367,75,75.0,0.0,0.0
368,66,66.0,0.0,0.0
369,75,75.0,0.0,0.0
370,74,74.0,0.0,0.0
371,80,80.0,0.0,0.0
372,61,61.0,0.0,0.0
373,54,54.0,0.0,0.0
374,51,51.0,0.0,0.0
375,50,50.0,0.0,0.0
376,53,53.0,0.0,0.0
377,63,63.0,0.0,0.0
378,51,51.0,0.0,0.0
379,49,49.0,0.0,0.0
380,63,65.9353398829661,-2.9353398829661046,-4.451846139227118
381,57,57.0,0.0,0.0
382,53,53.0,0.0,0.0
383,51,51.0,0.0,0.0
384,57,57.0,0.0,0.0
385,69,69.0,0.0,0.0
386,57,57.0,0.0,0.0
387,63,63.0,0.0,0.0
388,67,67.0,0.0,0.0
389,62,62.0,0.0,0.0
390,56,56.0,0.0,0.0
391,60,60.0,0.0,0.0
392,50,56.152667884867256,-6.152667884867256,-10.957035732447107
393,45,45.0,0.0,0.0
394,48,48.0,0.0,0.0
395,50,50.0,0.0,0.0
396,52,52.0,0.0,0.0
397,49,49.0,0.0,0.0
398,72,72.0,0.0,0.0
399,70,70.0,0.0,0.0
400,71,65.94424083815773,5.055759161842275,7.6667182722601455
401,74,74.0,0.0,0.0
402,72,72.0,0.0,0.0
403,72,72.0,0.0,0.0
404,78,78.0,0.0,0.0
405,56,56.0,0.0,0.0
406,59,59.0,0.0,0.0
407,65,65.0,0.0,0.0
408,66,66.0,0.0,0.0
409,68,68.0,0.0,0.0
410,70,70.0,0.0,0.0
411,53,53.0,0.0,0.0
412,56,56.0,0.0,0.0
413,71,71.0,0.0,0.0
414,76,76.0,0.0,0.0
415,59,59.0,0.0,0.0
416,58,58.0,0.0,0.0
417,68,68.0,0.0,0.0
418,68,68.0,0.0,0.0
419,63,63.0,0.0,0.0
420,60,60.0,0.0,0.0
421,60,60.0,0.0,0.0
422,66,66.0,0.0,0.0
423,56,56.0,0.0,0.0
424,61,61.0,0.0,0.0
425,54,54.0,0.0,0.0
426,51,51.0,0.0,0.0
427,63,58.094815563682126,4.9051844363178745,8.443411668879353
428,52,52.0,0.0,0.0
429,54,54.0,0.0,0.0
430,61,61.0,0.0,0.0
431,58,58.0,0.0,0.0
432,58,58.0,0.0,0.0
433,58,58.0,0.0,0.0
434,71,71.0,0.0,0.0
435,74,74.0,0.0,0.0
436,78,78.0,0.0,0.0
437,75,75.0,0.0,0.0
438,84,84.0,0.0,0.0
439,56,56.0,0.0,0.0
440,50,50.0,0.0,0.0
441,50,50.0,0.0,0.0
442,57,57.0,0.0,0.0
443,54,54.0,0.0,0.0
444,53,53.0,0.0,0.0
445,57,57.0,0.0,0.0
446,46,46.0,0.0,0.0
447,49,49.0,0.0,0.0
448,45,45.0,0.0,0.0
449,45,45.0,0.0,0.0
450,47,47.0,0.0,0.0
451,52,52.0,0.0,0.0
452,58,58.0,0.0,0.0
453,72,72.0,0.0,0.0
454,53,53.0,0.0,0.0
455,58,58.0,0.0,0.0
456,63,63.0,0.0,0.0
457,63,63.0,0.0,0.0
458,59,59.0,0.0,0.0
459,54,54.0,0.0,0.0
460,59,59.0,0.0,0.0
461,57,57.0,0.0,0.0
462,63,63.0,0.0,0.0
463,49,49.0,0.0,0.0
464,76,76.0,0.0,0.0
465,76,76.0,0.0,0.0
466,72,72.0,0.0,0.0
467,74,74.0,0.0,0.0
468,73,73.0,0.0,0.0
469,63,63.0,0.0,0.0
470,61,61.0,0.0,0.0
471,60,60.0,0.0,0.0
472,61,61.0,0.0,0.0
473,56,56.0,0.0,0.0
474,56,56.0,0.0,0.0
475,56,56.0,0.0,0.0
476,52,52.0,0.0,0.0
477,54,54.0,0.0,0.0
478,60,60.0,0.0,0.0
479,56,56.0,0.0,0.0
480,57,57.0,0.0,0.0
481,56,56.0,0.0,0.0
482,54,54.0,0.0,0.0
483,56,56.0,0.0,0.0
484,55,55.0,0.0,0.0
485,56,56.0,0.0,0.0
486,56,54.74642448985803,1.253575510141971,2.2897851719507276
487,54,54.0,0.0,0.0
488,54,54.0,0.0,0.0
489,62,62.0,0.0,0.0
490,60,60.0,0.0,0.0
491,62,62.0,0.0,0.0
492,53,53.0,0.0,0.0
493,60,60.0,0.0,0.0
494,60,60.0,0.0,0.0
495,74,74.0,0.0,0.0
496,76,76.0,0.0,0.0
497,74,74.0,0.0,0.0
498,71,71.0,0.0,0.0
499,67,67.0,0.0,0.0
500,69,65.91861035492536,3.081389645074637,4.6745367180581034
501,76,76.0,0.0,0.0
502,72,72.0,0.0,0.0
503,61,61.0,0.0,0.0
504,64,64.0,0.0,0.0
505,65,65.0,0.0,0.0
506,67,67.0,0.0,0.0
507,66,66.0,0.0,0.0
508,65,65.0,0.0,0.0
509,57,57.0,0.0,0.0
510,60,60.0,0.0,0.0
511,61,61.0,0.0,0.0
512,48,48.0,0.0,0.0
513,55,55.0,0.0,0.0
514,48,48.0,0.0,0.0
515,57,57.0,0.0,0.0
516,55,55.0,0.0,0.0
517,49,49.0,0.0,0.0
518,49,49.0,0.0,0.0
519,57,57.0,0.0,0.0
520,60,60.0,0.0,0.0
521,60,60.0,0.0,0.0
522,56,56.0,0.0,0.0
523,61,61.0,0.0,0.0
524,58,58.0,0.0,0.0
525,68,68.0,0.0,0.0
526,67,67.0,0.0,0.0
527,65,65.0,0.0,0.0
528,65,65.0,0.0,0.0
529,64,64.0,0.0,0.0
530,69,69.0,0.0,0.0
531,53,53.0,0.0,0.0
532,57,57.0,0.0,0.0
533,53,53.0,0.0,0.0
534,50,50.0,0.0,0.0
535,49,49.0,0.0,0.0
536,49,49.0,0.0,0.0
537,52,52.0,0.0,0.0
538,54,54.0,0.0,0.0
539,55,55.0,0.0,0.0
540,53,53.0,0.0,0.0
541,60,60.0,0.0,0.0
542,53,53.0,0.0,0.0
543,51,51.0,0.0,0.0
544,67,67.0,0.0,0.0
545,66,66.0,0.0,0.0
546,62,62.0,0.0,0.0
547,63,63.0,0.0,0.0
548,66,66.0,0.0,0.0
549,67,67.0,0.0,0.0
550,48,48.0,0.0,0.0
551,54,54.0,0.0,0.0
552,53,53.0,0.0,0.0
553,50,50.0,0.0,0.0
554,49,49.0,0.0,0.0
555,49,49.0,0.0,0.0
556,48,48.0,0.0,0.0
557,74,74.0,0.0,0.0
558,73,73.0,0.0,0.0
559,75,75.0,0.0,0.0
560,78,78.0,0.0,0.0
561,58,58.0,0.0,0.0
562,58,58.0,0.0,0.0
563,57,57.0,0.0,0.0
564,56,56.0,0.0,0.0
565,56,56.0,0.0,0.0
566,58,58.0,0.0,0.0
567,53,53.0,0.0,0.0
568,60,60.0,0.0,0.0
569,55,55.0,0.0,0.0
570,58,58.0,0.0,0.0
571,55,55.0,0.0,0.0
572,58,65.34298209320673,-7.342982093206729,-11.237598680042687
573,54,54.0,0.0,0.0
574,58,58.0,0.0,0.0
575,55,55.0,0.0,0.0
576,61,61.0,0.0,0.0
577,65,65.0,0.0,0.0
578,61,61.0,0.0,0.0
579,60,60.0,0.0,0.0
580,57,57.0,0.0,0.0
581,60,60.0,0.0,0.0
582,61,61.0,0.0,0.0
583,58,58.0,0.0,0.0
584,51,51.0,0.0,0.0
585,59,59.0,0.0,0.0
586,59,59.0,0.0,0.0
587,56,56.0,0.0,0.0
588,74,74.0,0.0,0.0
589,71,71.0,0.0,0.0
590,77,77.0,0.0,0.0
591,82,82.0,0.0,0.0
592,75,75.0,0.0,0.0
593,73,73.0,0.0,0.0
